iteration	score	total_return_pct	max_dd_pct	dd_violated	wr_violated	total_trades	win_rate	sharpe	pf	delta	status	description
382	0.28	0.41	29.99	False	False	139	41.73	1.7742	0.6399	-0.15	DISCARD	BULL_WEIGHT_RSI 0.12->0.25
383	0.34	0.55	37.55	False	False	124	37.1	1.8838	0.4954	-0.09	DISCARD	DAILY_RSI_WEIGHT 0.0->0.1
384	0.01	0.01	29.96	False	False	120	39.17	1.7541	0.6171	-0.42	DISCARD	VIX_TIER_3 22.0->25.0
385	-0.02	-0.03	29.97	False	False	119	38.66	1.7935	0.624	-0.45	DISCARD	BEAR_WEIGHT_SENTIMENT 0.0->0.2
386	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	VOL_HIGH_SIZE_SCALE 0.5->0.6
387	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	GARCH_VOL_INCREASE_SCALE 1.2->1.4
388	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	ADAPTIVE_TP_FLOOR_ATR 3.0->10.0
389	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	RISKOFF_STOP_TIGHTEN_MULT 0.8->0.5
390	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BREAKOUT_LOOKBACK 48->24
391	0.3	0.43	29.98	False	False	128	43.75	1.8423	0.6814	-0.13	DISCARD	ADAPTIVE_COOLDOWN_ENABLED True->False
392	0.45	0.64	29.97	False	False	117	40.17	1.7208	0.5948	0.02	BELOW_THRESHOLD	BEAR_RSI_OVERBOUGHT 75->60
393	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	RIP_SELL_RSI_THRESHOLD 65->60
394	0.15	0.28	45.65	False	False	133	35.34	2.2918	0.4041	-0.28	DISCARD	BEAR_WEIGHT_RSI 0.1->0.35
395	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	INTRADE_CREDIT_STRESS_TIGHTEN 0.5->0.6
396	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	MOMENTUM_RSI_EXTREME 75->85
397	0.32	0.51	37.23	False	False	124	39.52	1.8118	0.5902	-0.11	DISCARD	DAILY_LOSS_CIRCUIT_PCT -1.0->-5.0
398	0.42	0.6	29.96	False	False	120	40.0	1.698	0.5645	-0.01	DISCARD	DAILY_COUNTER_TREND_PENALTY 0.15->0.1
399	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_RISK_MULT 0.5->0.6
400	0.36	0.51	29.97	False	False	119	39.5	1.7545	0.5447	-0.07	DISCARD	BULL_DEFENSIVE_RISK_MULT 0.3->0.6
401	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	SIDE_TP_ATR_MULT 2.0->7.0
402	0.24	0.38	36.18	False	False	128	45.31	2.0187	0.767	-0.19	DISCARD	BULL_DEFENSIVE_ENABLED True->False
403	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	ADAPTIVE_TP_TREND_ALIGNED_SCALE 1.8->2.0
404	0.44	0.63	29.96	False	False	118	39.83	1.6946	0.5677	0.01	BELOW_THRESHOLD	BEAR_RSI_OVERBOUGHT 75->80
405	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	MIN_ATR_THRESHOLD 5.0->1.5
406	-0.29	-0.41	30.72	False	False	170	40.59	2.1296	0.7067	-0.72	DISCARD	BULL_WEIGHT_MACRO 0.05->0.25
407	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	DAILY_RSI_OVERBOUGHT 70->55
408	0.43	0.6	27.3	False	False	118	42.37	1.8105	0.6402	0.0	DISCARD	BEAR_RSI_OVERSOLD 40->30
409	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	BREAKEVEN_R 1.5->1.0
410	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	DXY_WEAK_THRESHOLD 102.0->95.0
411	0.43	0.61	29.96	False	False	119	40.34	1.7005	0.5644	0.0	DISCARD	ADAPTIVE_TP_VOLUME_SURGE_SCALE 1.0->2.0
412	0.33	0.48	30.32	False	False	125	44.0	1.8408	0.6714	-0.1	DISCARD	SEQ_VOLUME_MIN_RATIO 0.7->0.1
413	0.4	0.57	29.96	False	False	120	39.17	1.7017	0.5769	-0.03	DISCARD	BULL_STOP_ATR_MULT 3.5->3.0
414	0.33	0.5	34.05	False	False	120	35.83	1.8058	0.4529	-0.1	DISCARD	ADAPTIVE_STOP_LOW_VOL_SCALE 1.0->0.8
415	0.43	0.61	29.96	False	False	119	40.34	1.6971	0.5698	0.0	DISCARD	INTRADE_VIX_SPIKE_TIGHTEN 0.4->1.0
416	0.3	0.43	30.41	False	False	127	40.94	1.8135	0.6452	-0.13	DISCARD	BULL_WEIGHT_MACRO 0.05->0.1
417	-0.88	-1.29	31.24	False	False	126	39.68	1.7066	0.5624	-1.31	DISCARD	USE_LIMIT_ORDERS True->False
418	0.47	0.68	30.71	False	False	110	40.91	1.6667	0.6019	0.04	BELOW_THRESHOLD	BEAR_WEIGHT_VIX 0.1->0.05
419	0.43	0.61	29.96	False	False	119	40.34	1.6992	0.5744	0.0	DISCARD	BULL_DEFENSIVE_TP_ATR 3.0->4.0
420	0.44	0.63	29.95	False	False	117	39.32	1.7034	0.5425	0.01	BELOW_THRESHOLD	BULL_RSI_OVERSOLD 30->20
421	0.44	0.62	29.96	False	False	121	41.32	1.6854	0.6298	0.01	BELOW_THRESHOLD	BULL_TRAILING_START_R 1.5->0.5
