timestamp,direction,magnitude,h_used,bar_index
2025-07-31 20:00:00,DOWN,0.004534806587649468,0.0015,126
2025-08-01 12:30:00,DOWN,0.010687834079938703,0.0015,127
2025-08-01 14:00:00,DOWN,0.008444147125240286,0.0015,130
2025-08-01 14:10:00,UP,0.00329696507142771,0.0015,132
2025-08-01 14:30:00,UP,0.002504697615009277,0.0015,136
2025-08-01 14:40:00,DOWN,0.0015647006791175222,0.0015,138
2025-08-01 15:35:00,DOWN,0.0025086247085183873,0.0015,142
2025-08-01 15:40:00,UP,0.0030174210248505094,0.0015,143
2025-08-01 17:15:00,DOWN,0.004391991688017074,0.0015,144
2025-08-01 18:05:00,DOWN,0.0018488292739543923,0.0015,146
2025-08-01 18:55:00,UP,0.0035765557806155777,0.0015,147
2025-08-04 04:00:00,UP,0.004501602732299782,0.0015,148
2025-08-04 04:20:00,DOWN,0.0016417155702343205,0.0015,149
2025-08-04 08:15:00,UP,0.0035146675770939243,0.0015,150
2025-08-04 14:25:00,UP,0.005752950640955361,0.0015,151
2025-08-04 16:50:00,UP,0.0024025432001512402,0.0015,155
2025-08-04 20:35:00,UP,0.0036729922017712056,0.0015,159
2025-08-05 07:05:00,UP,0.002007257680049386,0.0015,161
2025-08-05 14:55:00,DOWN,0.008325475492892325,0.0015,165
2025-08-05 16:35:00,UP,0.002679457168788844,0.0015,166
2025-08-06 18:05:00,UP,0.005954469899651886,0.0015,169
2025-08-07 01:10:00,UP,0.0026589098726943947,0.0015,172
2025-08-07 09:55:00,UP,0.005181855947825123,0.0015,173
2025-08-07 11:35:00,DOWN,0.0018393628729699253,0.0015,174
2025-08-07 14:15:00,DOWN,0.003457153982996044,0.0015,179
2025-08-07 14:50:00,DOWN,0.002234207400865329,0.0015,182
2025-08-07 16:55:00,DOWN,0.0019686945425476917,0.0015,187
2025-08-07 23:10:00,UP,0.004323830231685443,0.0015,190
2025-08-08 13:55:00,UP,0.004039321501317436,0.0015,198
2025-08-08 14:35:00,UP,0.0017261555140509362,0.0015,200
2025-08-08 16:15:00,UP,0.0016870522769780124,0.0015,203
2025-08-08 17:00:00,DOWN,0.001687052276978158,0.0015,205
2025-08-08 18:00:00,UP,0.0022232453193151984,0.0015,207
2025-08-08 20:10:00,UP,0.0016851784914858562,0.0015,212
2025-08-11 18:45:00,DOWN,0.00425247264716177,0.0015,220
2025-08-12 12:30:00,UP,0.00436782303600698,0.0015,223
2025-08-12 15:00:00,UP,0.0025581808876860585,0.0015,230
2025-08-12 16:55:00,UP,0.002323412269937467,0.0015,235
2025-08-12 23:50:00,UP,0.0019399386064507752,0.0015,237
2025-08-13 13:10:00,UP,0.0032631408200068353,0.0015,240
2025-08-13 13:45:00,UP,0.0017039327093545157,0.0015,242
2025-08-13 14:25:00,DOWN,0.0025380243561343918,0.0015,244
2025-08-13 16:40:00,DOWN,0.001632095707022045,0.0015,247
2025-08-13 17:35:00,DOWN,0.0015573073131182214,0.0015,250
