date,hourly_trend,hourly_atr_percentile,hourly_momentum_z,hourly_vol_regime
2024-04-01,1,9.090909090909092,-0.005716031394500045,low
2024-04-02,1,35.3448275862069,-1.366470923258725,normal
2024-04-03,-1,57.93991416309014,-1.2092805023798001,normal
2024-04-04,-1,91.45299145299145,-1.2785765358319265,high
2024-04-05,-1,98.72340425531915,-0.8147879357163983,high
2024-04-08,-1,66.10169491525424,-1.2243475569155624,normal
2024-04-09,-1,67.51054852320675,0.4205763696270515,normal
2024-04-10,-1,99.57983193277312,-1.4051544041858441,high
2024-04-11,-1,99.16317991631799,-0.24426703195646904,high
2024-04-12,-1,97.08333333333333,-1.1154328465319787,high
2024-04-15,-1,98.7551867219917,-1.8864226920407632,high
2024-04-16,-1,98.34710743801654,-2.219497521476034,high
2024-04-17,-1,96.29629629629629,-2.4316594526213438,high
2024-04-18,-1,94.26229508196722,-0.8346911005942473,high
2024-04-19,-1,95.10204081632652,-1.8274470856434586,high
2024-04-22,-1,96.34146341463415,-0.5213423625586431,high
2024-04-23,-1,80.16194331983806,1.2646531723639565,high
2024-04-24,1,61.29032258064516,1.571418075018572,normal
2024-04-25,1,95.58232931726907,-0.25182286075819305,high
2024-04-26,1,96.0,0.26035195121413784,high
2024-04-29,1,62.94820717131474,1.7440802467721923,normal
2024-04-30,1,70.1195219123506,-1.1824003904463494,normal
2024-05-01,1,99.60159362549801,-1.7839056222448204,high
2024-05-02,-1,100.0,-0.6095174302874297,high
2024-05-03,-1,90.43824701195219,1.780163784956003,high
2024-05-06,1,62.15139442231076,2.3556606497118655,normal
2024-05-07,1,16.733067729083665,1.1438446189766411,low
2024-05-08,1,8.764940239043826,0.38470673236592096,low
2024-05-09,1,8.366533864541832,0.3540009356877461,low
2024-05-10,1,12.749003984063744,0.5162688384838151,low
2024-05-13,1,9.9601593625498,0.3546731207797797,low
2024-05-14,1,10.756972111553784,0.2943903243292189,low
2024-05-15,1,28.286852589641438,1.156596743309358,normal
2024-05-16,1,26.693227091633464,0.8581890598421671,normal
2024-05-17,1,9.9601593625498,0.3460891029293733,low
2024-05-20,1,7.569721115537849,-0.2134381223146253,low
2024-05-21,1,2.3904382470119523,0.24547345378288524,low
2024-05-22,1,7.968127490039841,-0.3604957371020847,low
2024-05-23,1,69.7211155378486,-0.7859698187462563,normal
2024-05-24,-1,75.2988047808765,-0.37184702738344505,high
2024-05-28,-1,37.45019920318725,-0.17902051735885252,normal
2024-05-29,-1,45.81673306772908,-0.4815556030065989,normal
2024-05-30,-1,57.76892430278885,-1.2066828650459358,normal
2024-05-31,-1,86.05577689243027,0.05012448303173624,high
2024-06-03,-1,92.82868525896414,0.5907137895886776,high
2024-06-04,-1,78.08764940239044,1.166173019296978,high
2024-06-05,1,53.38645418326693,0.9851726017984394,normal
2024-06-06,1,19.9203187250996,1.1447895792403358,low
2024-06-07,1,47.808764940239044,0.5058119981477438,normal
2024-06-10,1,49.00398406374502,-0.008225452560553882,normal
2024-06-11,1,37.45019920318725,0.24176632054841582,normal
2024-06-12,1,86.45418326693228,1.1191107444947574,high
2024-06-13,1,86.85258964143426,1.2543513019736472,high
2024-06-14,1,51.79282868525896,-0.33545098887109515,normal
2024-06-17,1,47.410358565737056,0.8507780778739441,normal
2024-06-18,1,29.08366533864542,1.1067239621064642,normal
2024-06-20,1,44.223107569721115,0.5918161693323924,normal
2024-06-21,1,70.1195219123506,-0.696864660340412,normal
2024-06-24,1,59.36254980079681,-1.1734465314637545,normal
2024-06-25,-1,43.82470119521912,-0.05931499856286519,normal
2024-06-26,-1,28.286852589641438,-0.11319545549139155,normal
2024-06-27,-1,38.24701195219124,0.23388932240898386,normal
2024-06-28,1,72.11155378486056,-0.11562480466641151,normal
2024-07-01,1,77.29083665338645,-0.35994785882700603,high
2024-07-02,1,43.02788844621514,-0.26694874973616006,normal
2024-07-03,1,25.89641434262948,0.5976901140876032,normal
2024-07-05,1,14.342629482071715,1.3527334315859745,low
2024-07-08,1,3.9840637450199203,1.1562772528061702,low
2024-07-09,1,3.187250996015936,0.3393987788883304,low
2024-07-10,1,13.94422310756972,0.6352170074001194,low
2024-07-11,1,48.20717131474104,-0.25435614565716913,normal
2024-07-12,1,82.47011952191235,0.062490723452218275,high
2024-07-15,1,84.06374501992032,-0.12752768345874355,high
2024-07-16,1,60.55776892430279,0.44755700257221553,normal
2024-07-17,1,70.91633466135458,-1.5706533053234097,normal
2024-07-18,-1,97.21115537848605,-2.256513611703324,high
2024-07-19,-1,97.60956175298804,-2.1004220143070795,high
2024-07-22,-1,90.83665338645417,-1.0928540694845874,high
2024-07-23,-1,74.9003984063745,0.10458134227339365,normal
2024-07-24,-1,90.83665338645417,-2.3451567126486004,high
2024-07-25,-1,100.0,-3.0,high
2024-07-26,-1,100.0,-0.4998850175480355,high
2024-07-29,-1,97.21115537848605,0.43434499938412463,high
2024-07-30,-1,92.82868525896414,-0.5798124018278309,high
2024-07-31,-1,99.20318725099602,0.6072915488677552,high
2024-08-01,1,99.20318725099602,-0.5863335487655461,high
2024-08-02,-1,100.0,-3.0,high
2024-08-05,-1,100.0,-3.0,high
2024-08-06,-1,100.0,-1.1729092958259355,high
2024-08-07,-1,99.20318725099602,0.5709644707442314,high
2024-08-08,-1,98.80478087649402,1.0663044145085752,high
2024-08-09,-1,96.81274900398407,0.555430414906506,high
2024-08-12,1,94.42231075697211,0.7368353999252945,high
2024-08-13,1,89.2430278884462,1.5405661790520921,high
2024-08-14,1,81.27490039840637,1.252196437791426,high
2024-08-15,1,76.89243027888446,1.9463765119566594,high
2024-08-16,1,53.38645418326693,1.4690660907357407,normal
2024-08-19,1,23.50597609561753,1.01350573982117,low
2024-08-20,1,26.693227091633464,0.5562869350963561,normal
2024-08-21,1,56.17529880478087,0.5019394895046297,normal
2024-08-22,1,83.26693227091634,-0.49909091580598325,high
2024-08-23,1,96.41434262948208,0.07717144217534953,high
2024-08-26,1,91.63346613545816,-0.22116392803615312,high
2024-08-27,1,36.65338645418327,-0.3076274455746019,normal
2024-08-28,1,64.5418326693227,-0.587106245606836,normal
2024-08-29,1,88.04780876494024,-0.47135753058285135,high
2024-08-30,-1,92.03187250996015,0.17745565276676775,high
2024-09-03,-1,95.2191235059761,-1.2540850123438145,high
2024-09-04,-1,89.2430278884462,-1.3104355179346503,high
2024-09-05,-1,90.0398406374502,-0.9535411411508377,high
2024-09-06,-1,96.81274900398407,-1.4491444692109112,high
2024-09-09,-1,95.2191235059761,-0.7642610681294751,high
2024-09-10,-1,86.85258964143426,0.5298005821095434,high
2024-09-11,-1,96.41434262948208,1.167844421757269,high
2024-09-12,1,96.01593625498009,1.4095303541485744,high
2024-09-13,1,68.92430278884463,2.3493890747918793,normal
2024-09-16,1,35.85657370517929,0.7523199307302908,normal
2024-09-17,1,53.78486055776892,0.17457394750940858,normal
2024-09-18,1,93.62549800796812,-0.0704620830688909,high
2024-09-19,1,96.41434262948208,0.4825587028021426,high
2024-09-20,1,92.03187250996015,0.4754059804057649,high
2024-09-23,1,56.573705179282875,-0.2544479335895286,normal
2024-09-24,1,29.08366533864542,0.3686500930234523,normal
2024-09-25,1,21.51394422310757,-0.05380066361704666,low
2024-09-26,1,35.0597609561753,0.34868261241435744,normal
2024-09-27,1,46.613545816733065,-0.04276177216431668,normal
2024-09-30,1,49.800796812749006,0.09462798591719121,normal
2024-10-01,1,91.63346613545816,-0.5991713972933794,high
2024-10-02,-1,87.25099601593625,-0.2527019189560793,high
2024-10-03,-1,64.14342629482071,0.02300764322064559,normal
2024-10-04,-1,80.47808764940238,0.48535040802953106,high
2024-10-07,-1,72.90836653386454,0.054765134082127936,normal
2024-10-08,1,46.613545816733065,0.447841108742319,normal
2024-10-09,1,37.05179282868526,0.5975162281791098,normal
2024-10-10,1,39.8406374501992,0.5375496552067336,normal
2024-10-11,1,47.410358565737056,0.5323356279094099,normal
2024-10-14,1,37.45019920318725,0.8194186831018375,normal
2024-10-15,1,39.8406374501992,-0.10951553794200118,normal
2024-10-16,1,33.067729083665334,-0.23864502608366694,normal
2024-10-17,1,32.27091633466135,-0.2428796444956615,normal
2024-10-18,1,33.067729083665334,0.2624368365600787,normal
2024-10-21,1,30.677290836653388,-0.20755672647943482,normal
2024-10-22,1,38.24701195219124,-0.19281515561232043,normal
2024-10-23,-1,64.9402390438247,-0.8662579964069209,normal
2024-10-24,-1,68.12749003984064,-0.4130974451852609,normal
2024-10-25,-1,69.7211155378486,-0.3843857296167825,normal
2024-10-28,-1,66.13545816733067,0.026044209113799347,normal
2024-10-29,1,37.45019920318725,-0.6957256103617833,normal
2024-10-30,1,45.0199203187251,-0.7246985198981909,normal
2024-10-31,-1,80.47808764940238,-2.058436148905238,high
2024-11-01,-1,93.62549800796812,-1.9242042002383948,high
2024-11-04,-1,80.87649402390437,-0.5462201494372622,high
2024-11-05,-1,64.5418326693227,-0.03488223098685843,normal
2024-11-06,1,87.64940239043824,2.4717808198574627,high
2024-11-07,1,82.86852589641434,2.6665749181779588,high
2024-11-08,1,24.701195219123505,1.0475344446583523,low
2024-11-11,1,15.139442231075698,0.3995696411998162,low
2024-11-12,1,29.482071713147413,-0.25138785177158074,normal
2024-11-13,1,51.39442231075697,-0.4036884080802762,normal
2024-11-14,1,64.9402390438247,-0.7734483302576036,normal
2024-11-15,-1,75.69721115537848,-1.556044390834989,high
2024-11-18,-1,65.33864541832669,-1.2034723874172837,normal
2024-11-19,-1,48.60557768924303,0.3590144021510191,normal
2024-11-20,-1,79.2828685258964,0.3019589448423054,high
2024-11-21,-1,92.03187250996015,0.8223873424011071,high
2024-11-22,1,80.87649402390437,1.1398023695642967,high
2024-11-25,1,68.52589641434263,1.0981503056458188,normal
2024-11-26,1,46.613545816733065,0.7121955150951519,normal
2024-11-27,1,13.94422310756972,-0.29935150056945997,low
2024-11-29,1,16.334661354581673,0.4877801304406851,low
2024-12-02,1,7.569721115537849,0.1992613356641411,low
2024-12-03,1,0.796812749003984,0.39896015323946094,low
2024-12-04,1,5.577689243027888,0.2477113251736052,low
2024-12-05,1,9.163346613545817,0.2382277784277399,low
2024-12-06,1,13.94422310756972,-0.014310351478796848,low
2024-12-09,1,17.52988047808765,-0.7053252947713644,low
2024-12-10,1,13.545816733067728,-1.2223553441818726,low
2024-12-11,-1,15.139442231075698,-0.08634716716797208,low
2024-12-12,-1,19.52191235059761,-0.38486382459359825,low
2024-12-13,-1,24.302788844621514,-0.6088273548617393,low
2024-12-16,-1,17.928286852589643,-0.20125183110206268,low
2024-12-17,-1,20.318725099601593,-0.35914435031838116,low
2024-12-18,-1,92.43027888446214,-3.0,high
2024-12-19,-1,98.00796812749005,-2.487156759171068,high
2024-12-20,-1,97.60956175298804,-2.0027104098563213,high
2024-12-23,-1,94.02390438247012,0.7598905952044945,high
2024-12-24,-1,78.88446215139442,1.3241808881775254,high
2024-12-26,-1,47.01195219123506,1.0816499659335133,normal
2024-12-27,1,85.2589641434263,0.09023773884598749,high
2024-12-30,1,97.60956175298804,-1.6523799680603124,high
2024-12-31,-1,95.61752988047809,-1.0117363894353395,high
2025-01-02,-1,94.42231075697211,-0.10252251354081221,high
2025-01-03,-1,89.64143426294821,0.22215323603601136,high
2025-01-06,-1,74.9003984063745,0.9132559055895992,normal
2025-01-07,1,91.63346613545816,-0.0003853564764193638,high
2025-01-08,1,95.61752988047809,-1.236783188945984,high
2025-01-10,-1,96.81274900398407,-1.639716601628681,high
2025-01-13,-1,95.2191235059761,-0.6087703040791196,high
2025-01-14,-1,91.23505976095618,0.05937714495699485,high
2025-01-15,-1,92.82868525896414,2.0766779347822197,high
2025-01-16,1,76.49402390438247,1.0258110298297856,high
2025-01-17,1,60.55776892430279,0.5926245708693516,normal
2025-01-21,1,50.199203187250994,1.209175798289771,normal
2025-01-22,1,29.08366533864542,1.0158397889197497,normal
2025-01-23,1,17.52988047808765,0.97691580271537,low
2025-01-24,1,16.733067729083665,0.025764087035061507,low
2025-01-27,1,84.4621513944223,-0.823730009498787,high
2025-01-28,-1,94.02390438247012,-0.6472584268599253,high
2025-01-29,-1,81.67330677290838,0.2176314251100135,high
2025-01-30,-1,88.04780876494024,0.15627378895512012,high
2025-01-31,1,95.2191235059761,2.768440469662383,high
2025-02-18,1,76.89243027888446,2.948000317496531,high
2025-02-21,1,0.0,-0.7673792545924807,low
2025-03-07,-1,96.01593625498009,-3.0,high
2025-03-28,-1,98.80478087649402,-3.0,high
2025-04-06,-1,100.0,-3.0,high
2025-04-07,-1,0.0,0.38010951047442837,low
2025-04-14,-1,98.40637450199203,2.429518169167007,high
2025-04-21,-1,99.60159362549801,1.1245232455955718,high
2025-04-29,-1,98.40637450199203,3.0,high
2025-05-02,1,96.01593625498009,1.2559813941575386,high
2025-05-19,1,47.410358565737056,1.5142070151923377,normal
2025-05-22,1,54.18326693227091,1.3824708261295264,normal
2025-06-11,1,25.49800796812749,1.5551702549027588,normal
2025-06-16,1,21.51394422310757,0.4578649398236927,low
2025-06-23,1,0.796812749003984,0.16246580053723586,low
2025-06-25,1,38.24701195219124,-0.03971186322981217,normal
2025-06-26,1,0.398406374501992,0.09482691868824414,low
2025-06-27,1,0.398406374501992,-0.06205441777033593,low
2025-06-30,1,1.1952191235059761,0.05145611981190823,low
2025-07-01,1,0.0,0.051167946974523704,low
2025-07-02,1,0.398406374501992,-0.016465791630139018,low
2025-07-03,1,2.788844621513944,0.1426854163212201,low
2025-07-04,1,2.3904382470119523,0.010849912200543585,low
2025-07-06,1,0.0,-0.06965642724291864,low
2025-07-07,1,1.1952191235059761,-0.25857140135184437,low
2025-07-10,-1,3.5856573705179287,-0.05822197177089101,low
2025-07-11,1,0.0,-0.11709675214430522,low
2025-07-15,1,0.796812749003984,-0.12837845469620365,low
2025-07-16,-1,5.577689243027888,-0.1998809204623308,low
2025-07-17,1,2.788844621513944,0.09707144154457097,low
2025-07-18,1,0.796812749003984,0.012175248130522854,low
2025-07-21,1,6.772908366533864,-0.09535485349132546,low
2025-07-22,1,0.796812749003984,-0.20127955266268405,low
2025-07-23,1,7.968127490039841,0.02764696553590687,low
2025-07-24,1,1.1952191235059761,-0.1426719276558381,low
2025-07-25,1,1.1952191235059761,-0.09713475084448045,low
2025-07-28,1,5.577689243027888,-0.10198928670049161,low
2025-07-29,1,4.780876494023905,-0.2006000084214041,low
2025-07-30,-1,3.187250996015936,-0.08200313878396397,low
2025-07-31,1,15.936254980079681,-0.4132109237937737,low
2025-08-01,-1,62.15139442231076,-0.901746923840942,normal
2025-08-04,-1,9.163346613545817,0.15084203532122661,low
2025-08-05,1,9.163346613545817,-0.2141008722383683,low
2025-08-06,1,7.171314741035857,0.02992498604121534,low
2025-08-07,1,10.756972111553784,-0.15765081855176516,low
2025-08-08,1,9.56175298804781,-0.015227044744985456,low
2025-08-10,1,10.358565737051793,0.03285503692375317,low
2025-08-11,1,4.382470119521913,-0.24099949907321921,low
2025-08-12,1,4.780876494023905,0.023232432802192348,low
2025-08-13,1,12.350597609561753,-0.08316851103421204,low
2025-08-14,1,11.155378486055776,-0.12493158852263786,low
2025-08-15,1,10.358565737051793,-0.19529125934290445,low
2025-08-17,1,11.952191235059761,-0.15764527133265296,low
2025-08-18,-1,3.5856573705179287,-0.17888971204955095,low
2025-08-19,-1,9.56175298804781,-0.2707344269108139,low
